repository,owner_repo,tags,zip_sha256
https://github.com/Genusboragosirharoldwalterkroto654/claude-config-editor,Genusboragosirharoldwalterkroto654/claude-config-editor,claude,bc6d113747748c6e0753d288e12fcaac2bca0b5707c0904ba0770de9704aa336
https://github.com/Georgiannebedded725/zenodo-skill,Georgiannebedded725/zenodo-skill,skill,93dc419542b06df8db3b34da201b44a4d8476d1fc845861739bca3f2e6bc20db
https://github.com/Gingg7260/affiliate-skills,Gingg7260/affiliate-skills,skill,e4f366a19e7c06a429ac01aa08c76c1cd5b4ecabea1cde9e5b09a3ae0fe65264
https://github.com/Giro03k/claude-statistical-analysis-skill,Giro03k/claude-statistical-analysis-skill,skill,claude,25f95a539ed5ce133608d5c247c02322ad8e6a6efb17b5d79e45956e0fde7715
https://github.com/Gisellesleeveless396/go-agent-skills,Gisellesleeveless396/go-agent-skills,skill,3472f8ab611d90e334dc0fa748c8846530387107bd83b0fb4b612280a80caaa8
https://github.com/Glowboth/skillsync-mcp,Glowboth/skillsync-mcp,skill,mcp,80f0b5f54e7240f96c0b3c4f20e4719324e5600d00a3212af8706d7c70f7b626
https://github.com/HGGodhand33/skills,HGGodhand33/skills,skill,92cface9924a69c1043f5b23c4fc6f6984e86abfef60bf39b51e43cd7e9d59fc
https://github.com/HUANGcvs/MeiGen-AI-Design-MCP,HUANGcvs/MeiGen-AI-Design-MCP,mcp,e9b3caacc8d856f1769097b5c0a87bc340f5df5f203d0b6073f36e987703cb79
https://github.com/Hagridden-tawnyeagle788/Claude-Code,Hagridden-tawnyeagle788/Claude-Code,claude,cb81b5f69286b7371944263f9e8d111ba676526ca428d764a67dabe01f8ef0b9
https://github.com/Hampto7114/detect-skill,Hampto7114/detect-skill,skill,44077f28c9e2c148a5b1d58eebc083df51fdad9f6111c9d739c663e3637771e2
https://github.com/Hebrewlessonmobility409/papers_skills,Hebrewlessonmobility409/papers_skills,skill,123c5432b495feaac495a60d0693b51ba0d96e845cbc113bd1880ac1a3e9bba0
https://github.com/Heymonth/kmp-api-lookup-mcp,Heymonth/kmp-api-lookup-mcp,mcp,abd672ba93a9130293d296c705d251b79c1559f6dba1c720b3c8f58cb4f733c4
https://github.com/HypaSMarty/SUMO-MCP-Server,HypaSMarty/SUMO-MCP-Server,mcp,18bbdae1e7eb49f5061ce3fad052f842067be715e12f5a4bbafd08c50ff3c88f
https://github.com/IbrahimKomba/skill-simmer,IbrahimKomba/skill-simmer,skill,9b400e08c3aac68d3b29b321a9e33642c529cc327f43408c0fab9b21991f759c
https://github.com/Ikramahmadmemon13/grant-thinking-skill,Ikramahmadmemon13/grant-thinking-skill,skill,dfe575cdc3d0a027e2a45756cd875634ee895299df2a9095b4bbe7a17fc764d0
https://github.com/Immoderate-humulin783/odoo-skills,Immoderate-humulin783/odoo-skills,skill,6b6d8b50e7e248d93aa2687dc47dea044f78b2bf076845dc615bf90bbadaabf0
https://github.com/Immunogenic-prismspectroscope589/Blender_mcp,Immunogenic-prismspectroscope589/Blender_mcp,mcp,87c8c51830c051288ffea70060c3d26fe177f3f90bdf129a0c61deeb4d3d247b
https://github.com/Intragroup-pottle634/claude-code-analysis,Intragroup-pottle634/claude-code-analysis,claude,ecc51126a1167de3c5a6866d6ebf83ca822f9a592c7e3d897bc6e8925612acf7
https://github.com/Iski08/dotclaude,Iski08/dotclaude,claude,be3fdba1cb65bb1f3cddc1b37504f1761f2daa41894d69fccc58c529b4a580ed
https://github.com/Isometrical-selection572/claude_code_cli,Isometrical-selection572/claude_code_cli,claude,a40aec243e07e3711a216dd660b57c7892b76448bb9e618632e0e11698bb22f5
https://github.com/Itzzs6571/teacher-skill,Itzzs6571/teacher-skill,skill,37a16d5724bce1e7ecdec3d327b3fcd763e5d70548aa1043743ad7e06f54944c
https://github.com/Itzzwojx/claude-telegram-relay,Itzzwojx/claude-telegram-relay,claude,f18b40135606ee6b5817cb1f871513726d601a422dd670d7951a2b767d83ee08
https://github.com/Izangi2714/claude-code-python-stack,Izangi2714/claude-code-python-stack,claude,d8ed914e6eadd582ade20fe234ea597efc3b37a6d271379ecc36abe87315381d
https://github.com/JBLtareas/sephora-reviews-spider,JBLtareas/sephora-reviews-spider,parser,dd825c2ba5886b02ea08b9f9aae898ab831a8e7319dd2cbc93853fc645d96aa4
https://github.com/Jame0077/mcp-code-mode,Jame0077/mcp-code-mode,mcp,e65a1941235a8421f7afa45366919bef218c2487829f3739a709bec95abd1570
https://github.com/Janianorthkorean166/claude-code-design-guide,Janianorthkorean166/claude-code-design-guide,claude,c8710e298cba48f9e4e552148c2575ebbe8af2c80a0b6f535c6c0aa50578bb72
https://github.com/JasonYozza14/Skill-Research-Figure,JasonYozza14/Skill-Research-Figure,skill,3973927a73aec2f6d1d09b0129b2e63be84daa8bd8efc8778a097f9933c6a513
https://github.com/Jeremyx000/claude-session-index,Jeremyx000/claude-session-index,claude,3c0826be30be7bb907ae1494dfaa8e20f391846b28f37e074b76fec324f0ffed
https://github.com/Jerson78/erduo-skills,Jerson78/erduo-skills,skill,5c01610b271eabd1de8b8b4eb211041f69ecf4fab1e8a431ae9db9d9bb524905
https://github.com/Johncli7941/claude-skill-video-transcribe,Johncli7941/claude-skill-video-transcribe,skill,claude,898262561d545346e94bb13adae98496c21efe588b5f94eabc6dd8feed961a93
https://github.com/Jolyjumbo536/awesome-persona-distill-skills,Jolyjumbo536/awesome-persona-distill-skills,skill,f13a87a1ede31328f8a93a3b41b029a5f295e2efaf5f2fd11a8d993349270cce
https://github.com/Julius0217/claude-code-workflow,Julius0217/claude-code-workflow,claude,ecabb8baa271ecb9b0b88d4195a078ee041a8c2c99f00f366ebc33e66c832393
https://github.com/Junayedahmedd/gemini_cli_skill,Junayedahmedd/gemini_cli_skill,skill,b4053e6dc24ae85394f01e5b72bab055e3d3802c89c6c784e98e52b4507c35bd
https://github.com/Justdvp/claude-code-templates,Justdvp/claude-code-templates,claude,577f58ad2d14499f85c7d1b61f4d29d0b9868a9263994c9ebedfc7db740ce6d0
https://github.com/Justkokosixnine/polymarket-mcp-server,Justkokosixnine/polymarket-mcp-server,mcp,32eca9103aaeb7e5d1ab7f1be96ce48c38905d742f9abc2eaff44c780aa65d75
https://github.com/KVNKEVINN/claude-music-studio,KVNKEVINN/claude-music-studio,claude,be880dde434b928d95861399f4ebdae9254c6157e3115c3680d0d73631e91b07
https://github.com/Kartikpanel2008/best-skills,Kartikpanel2008/best-skills,skill,8b2dcf5c6a91d97404bb0ca527526a8157507ec1613db8c3e1265c82a05dd116
https://github.com/Kasun2006/blueprint-mcp,Kasun2006/blueprint-mcp,mcp,2bca4bc4131cd56cb405e2dbe0366e0e31105eb83ff32b8e10402cd19e958c2c
https://github.com/KaterineLimaE/myntra-reviews-scraper,KaterineLimaE/myntra-reviews-scraper,parser,10175fd6f60ac286f8f44b2100877c53380b90bf0bc6f403f9bde783922d28d3
https://github.com/Kayunangka/claude-skill,Kayunangka/claude-skill,skill,claude,00e7b7e586a72f24127d66a5b1781e745fd243b5410471ede1bf07aec1c883ff
https://github.com/Kazuhards/linkedin-job-scraper,Kazuhards/linkedin-job-scraper,parser,e54d24aa35e3c5b446b6b350ee32383789eba99379ee316c39e334bbf51ae369
https://github.com/Kerrimoral221/MCP-Scorecard,Kerrimoral221/MCP-Scorecard,mcp,51846598e3030a4490b27c4208da05a677cc19ca7ddc3909e6ded7fb4fd6fa93
https://github.com/Kgurses52/IscrapeMDB,Kgurses52/IscrapeMDB,parser,5dfec0459f934d712fcafedf73c4faf467438a3f5375b4296b17fe3eee27d58e
https://github.com/Kiratuu/Video-Wrapper-Skills,Kiratuu/Video-Wrapper-Skills,skill,bef4f8f5222f7168565bf6acd475c27c910ebc298f5014dc60afb16db77d1450
